iso3c,max_date
ABW,2021-12-01
AFG,2021-01-01
AGO,2021-01-01
AIA,2021-01-01
ALB,2023-09-01
AND,2021-12-01
ARE,2021-12-01
ARG,2021-12-01
ARM,2023-11-01
ASM,2021-01-01
ATG,2021-12-01
AUS,2023-09-18
AUT,2023-12-04
AZE,2023-11-01
BDI,2021-01-01
BEL,2023-11-27
BEN,2021-01-01
BES,2021-01-01
BFA,2021-01-01
BGD,2021-01-01
BGR,2023-11-27
BHR,2021-01-01
BHS,2021-12-01
BIH,2023-09-01
BLM,2021-01-01
BLR,2021-03-01
BLZ,2022-12-01
BMU,2021-12-01
BOL,2022-01-01
BRA,2023-11-01
BRB,2023-09-01
BRN,2022-12-01
BTN,2021-12-01
BWA,2021-01-01
CAF,2021-01-01
CAN,2023-07-24
CHE,2023-12-25
CHL,2023-09-04
CHN,2021-01-01
CIV,2021-01-01
CMR,2021-01-01
COD,2021-01-01
COG,2021-01-01
COK,2021-01-01
COL,2023-03-27
COM,2021-01-01
CPV,2021-12-01
CRI,2022-12-01
CUB,2022-12-01
CUW,2021-01-01
CYM,2021-01-01
CYP,2023-11-20
CZE,2023-11-20
DEU,2023-12-25
DEU-BB,2023-12-04
DEU-BE,2023-12-04
DEU-BW,2023-12-04
DEU-BY,2023-12-04
DEU-HB,2023-12-04
DEU-HE,2023-12-04
DEU-HH,2023-12-04
DEU-MV,2023-12-04
DEU-NI,2023-12-04
DEU-NW,2023-12-04
DEU-RP,2023-12-04
DEU-SH,2023-12-04
DEU-SL,2023-12-04
DEU-SN,2023-12-04
DEU-ST,2023-12-04
DEU-TH,2023-12-04
DJI,2021-01-01
DMA,2021-01-01
DNK,2023-12-25
DOM,2022-10-01
DZA,2021-01-01
ECU,2023-12-18
EGY,2023-10-01
ERI,2021-01-01
ESH,2021-01-01
ESP,2023-12-25
EST,2024-01-01
ETH,2021-01-01
FIN,2023-11-27
FJI,2021-12-01
FLK,1998-01-01
FRA,2023-12-18
FRO,2023-10-01
FSM,2021-01-01
GAB,2021-01-01
GBR,2023-12-25
GBRTENW,2023-12-25
GBR_NIR,2023-12-25
GBR_SCO,2024-01-01
GEO,2023-06-01
GGY,2021-01-01
GHA,2021-01-01
GIB,2021-01-01
GIN,2021-01-01
GLP,2023-12-18
GMB,2021-01-01
GNB,2021-01-01
GNQ,2021-01-01
GRC,2023-11-27
GRD,2021-01-01
GRL,2023-09-01
GTM,2022-12-26
GUF,2023-12-18
GUM,2021-01-01
GUY,2021-01-01
HKG,2023-10-01
HND,2021-01-01
HRV,2023-11-27
HTI,2021-01-01
HUN,2023-12-04
IDN,2021-01-01
IMN,2021-01-01
IND,2021-01-01
IRL,2023-11-27
IRN,2022-10-03
IRQ,2021-01-01
ISL,2023-11-27
ISR,2023-12-11
ITA,2023-11-27
JAM,2021-11-01
JEY,2021-01-01
JOR,2022-12-01
JPN,2023-10-01
KAZ,2023-11-01
KEN,2021-01-01
KGZ,2023-11-01
KHM,2021-01-01
KIR,2021-01-01
KNA,2022-09-01
KOR,2023-09-25
KWT,2022-12-01
LAO,2021-01-01
LBN,2021-12-01
LBR,2021-01-01
LBY,2021-01-01
LCA,2021-01-01
LIE,2022-12-26
LKA,2021-01-01
LSO,2021-01-01
LTU,2023-12-25
LUX,2023-11-27
LVA,2023-12-25
MAC,2023-11-01
MAF,2021-01-01
MAR,2021-01-01
MCO,2022-12-01
MDA,2022-12-01
MDG,2021-01-01
MDV,2021-12-01
MEX,2023-08-28
MHL,2021-01-01
MKD,2023-11-01
MLI,2021-01-01
MLT,2023-11-20
MMR,2021-01-01
MNE,2023-04-24
MNG,2023-12-01
MNP,2021-01-01
MOZ,2021-01-01
MRT,2021-01-01
MSR,2005-01-01
MTQ,2023-12-18
MUS,2022-12-01
MWI,2021-01-01
MYS,2023-06-01
MYT,2023-12-18
NAM,2021-12-01
NCL,2023-06-01
NER,2021-01-01
NGA,2021-01-01
NIC,2021-12-01
NIU,1981-01-01
NLD,2023-12-25
NOR,2024-01-01
NPL,2021-01-01
NRU,2012-01-01
NZL,2023-12-18
OMN,2023-12-01
PAK,2021-01-01
PAN,2021-10-01
PER,2022-10-03
PHL,2023-06-01
PLW,2021-01-01
PNG,2021-01-01
POL,2023-12-18
PRI,2023-08-21
PRK,2021-01-01
PRT,2023-11-27
PRY,2023-08-01
PSE,2021-12-01
PYF,2021-12-01
QAT,2023-11-01
REU,2023-12-18
ROU,2023-11-20
RUS,2023-11-01
RWA,2021-01-01
SAU,2021-01-01
SDN,2021-01-01
SEN,2021-01-01
SGP,2023-09-01
SHN,1999-01-01
SLB,2021-01-01
SLE,2021-01-01
SLV,2021-01-01
SMR,2023-10-01
SOM,2021-01-01
SPM,1998-01-01
SRB,2023-11-01
SSD,2021-01-01
STP,2021-01-01
SUR,2021-12-01
SVK,2023-12-11
SVN,2023-12-11
SWE,2023-11-20
SWZ,2021-01-01
SXM,2021-01-01
SYC,2022-12-01
SYR,2021-01-01
TCA,2021-01-01
TCD,2021-01-01
TGO,2021-01-01
THA,2023-12-01
TJK,2022-12-01
TKL,1964-01-01
TKM,2021-01-01
TLS,2021-01-01
TON,2021-01-01
TTO,2021-01-01
TUN,2023-07-01
TUR,2022-12-01
TUV,2021-01-01
TWN,2023-12-01
TZA,2021-01-01
UGA,2021-01-01
UKR,2022-01-01
URY,2023-05-01
USA,2024-01-08
USA-AK,2024-01-08
USA-AL,2024-01-08
USA-AR,2024-01-08
USA-AZ,2024-01-08
USA-CA,2024-01-08
USA-CO,2024-01-08
USA-CT,2024-01-08
USA-DC,2024-01-08
USA-DE,2024-01-08
USA-FL,2024-01-08
USA-GA,2024-01-08
USA-HI,2024-01-08
USA-IA,2024-01-08
USA-ID,2024-01-08
USA-IL,2024-01-08
USA-IN,2024-01-08
USA-KS,2024-01-08
USA-KY,2024-01-08
USA-LA,2024-01-08
USA-MA,2024-01-08
USA-MD,2024-01-08
USA-ME,2024-01-08
USA-MI,2024-01-08
USA-MN,2024-01-08
USA-MO,2024-01-08
USA-MS,2024-01-08
USA-MT,2024-01-08
USA-NC,2024-01-08
USA-ND,2024-01-08
USA-NE,2024-01-08
USA-NH,2024-01-08
USA-NJ,2024-01-08
USA-NM,2024-01-08
USA-NV,2024-01-08
USA-NY,2024-01-08
USA-OH,2024-01-08
USA-OK,2024-01-08
USA-OR,2024-01-08
USA-PA,2024-01-08
USA-RI,2024-01-08
USA-SC,2024-01-08
USA-SD,2024-01-08
USA-TN,2024-01-08
USA-TX,2024-01-08
USA-UT,2024-01-08
USA-VA,2024-01-08
USA-VT,2024-01-08
USA-WA,2024-01-08
USA-WI,2024-01-08
USA-WV,2024-01-08
USA-WY,2024-01-08
UZB,2023-09-01
VCT,2021-12-01
VEN,2021-01-01
VGB,2021-01-01
VIR,2021-01-01
VNM,2021-01-01
VUT,2021-01-01
WLF,2020-01-01
WSM,2021-01-01
XKX,2021-01-01
YEM,2021-01-01
ZAF,2023-11-27
ZMB,2021-01-01
ZWE,2021-01-01
